Date,County,COVID-19 Cases
3/2/20,Napa,0
3/3/20,Napa,0
3/4/20,Napa,2
3/5/20,Napa,2
3/6/20,Napa,0
3/7/20,Napa,0
3/8/20,Napa,0
3/9/20,Napa,0
3/10/20,Napa,0
3/11/20,Napa,0
3/12/20,Napa,0
3/13/20,Napa,0
3/14/20,Napa,0
3/15/20,Napa,0
3/16/20,Napa,0
3/17/20,Napa,0
3/18/20,Napa,0
3/19/20,Napa,0
3/20/20,Napa,0
3/21/20,Napa,0
3/22/20,Napa,2
3/23/20,Napa,2
3/24/20,Napa,3
3/25/20,Napa,5
3/26/20,Napa,6
3/27/20,Napa,8
3/28/20,Napa,9
3/29/20,Napa,10
3/30/20,Napa,14
3/31/20,Napa,15
4/1/20,Napa,18
4/2/20,Napa,18
4/3/20,Napa,20
3/2/20,Solano,1
3/3/20,Solano,1
3/4/20,Solano,8
3/5/20,Solano,8
3/6/20,Solano,8
3/7/20,Solano,8
3/8/20,Solano,8
3/9/20,Solano,3
3/10/20,Solano,6
3/11/20,Solano,6
3/12/20,Solano,6
3/13/20,Solano,6
3/14/20,Solano,6
3/15/20,Solano,6
3/16/20,Solano,9
3/17/20,Solano,9
3/18/20,Solano,9
3/19/20,Solano,10
3/20/20,Solano,13
3/21/20,Solano,14
3/22/20,Solano,14
3/23/20,Solano,21
3/24/20,Solano,21
3/25/20,Solano,24
3/26/20,Solano,31
3/27/20,Solano,34
3/28/20,Solano,34
3/29/20,Solano,34
3/30/20,Solano,43
3/31/20,Solano,49
4/1/20,Solano,54
4/2/20,Solano,61
4/3/20,Solano,73
3/2/20,Sonoma,0
3/3/20,Sonoma,0
3/4/20,Sonoma,2
3/5/20,Sonoma,3
3/6/20,Sonoma,3
3/7/20,Sonoma,3
3/8/20,Sonoma,3
3/9/20,Sonoma,3
3/10/20,Sonoma,3
3/11/20,Sonoma,3
3/12/20,Sonoma,3
3/13/20,Sonoma,3
3/14/20,Sonoma,3
3/15/20,Sonoma,4
3/16/20,Sonoma,5
3/17/20,Sonoma,6
3/18/20,Sonoma,8
3/19/20,Sonoma,8
3/20/20,Sonoma,11
3/21/20,Sonoma,23
3/22/20,Sonoma,27
3/23/20,Sonoma,29
3/24/20,Sonoma,34
3/25/20,Sonoma,35
3/26/20,Sonoma,39
3/27/20,Sonoma,43
3/28/20,Sonoma,54
3/29/20,Sonoma,54
3/30/20,Sonoma,58
3/31/20,Sonoma,73
4/1/20,Sonoma,85
4/2/20,Sonoma,91
4/3/20,Sonoma,95
3/2/20,Marin,0
3/3/20,Marin,0
3/4/20,Marin,1
3/5/20,Marin,1
3/6/20,Marin,1
3/7/20,Marin,1
3/8/20,Marin,1
3/9/20,Marin,1
3/10/20,Marin,1
3/11/20,Marin,3
3/12/20,Marin,3
3/13/20,Marin,3
3/14/20,Marin,3
3/15/20,Marin,5
3/16/20,Marin,9
3/17/20,Marin,15
3/18/20,Marin,15
3/19/20,Marin,25
3/20/20,Marin,38
3/21/20,Marin,38
3/22/20,Marin,38
3/23/20,Marin,47
3/24/20,Marin,53
3/25/20,Marin,60
3/26/20,Marin,60
3/27/20,Marin,65
3/28/20,Marin,68
3/29/20,Marin,74
3/30/20,Marin,93
3/31/20,Marin,99
4/1/20,Marin,107
4/2/20,Marin,108
4/3/20,Marin,118
3/2/20,Contra Costa,0
3/3/20,Contra Costa,1
3/4/20,Contra Costa,4
3/5/20,Contra Costa,4
3/6/20,Contra Costa,7
3/7/20,Contra Costa,7
3/8/20,Contra Costa,7
3/9/20,Contra Costa,9
3/10/20,Contra Costa,10
3/11/20,Contra Costa,10
3/12/20,Contra Costa,10
3/13/20,Contra Costa,25
3/14/20,Contra Costa,25
3/15/20,Contra Costa,25
3/16/20,Contra Costa,29
3/17/20,Contra Costa,39
3/18/20,Contra Costa,41
3/19/20,Contra Costa,42
3/20/20,Contra Costa,46
3/21/20,Contra Costa,51
3/22/20,Contra Costa,61
3/23/20,Contra Costa,71
3/24/20,Contra Costa,86
3/25/20,Contra Costa,108
3/26/20,Contra Costa,131
3/27/20,Contra Costa,147
3/28/20,Contra Costa,151
3/29/20,Contra Costa,175
3/30/20,Contra Costa,187
3/31/20,Contra Costa,212
4/1/20,Contra Costa,250
4/2/20,Contra Costa,276
4/3/20,Contra Costa,307
3/2/20,Alameda,0
3/3/20,Alameda,1
3/4/20,Alameda,2
3/5/20,Alameda,2
3/6/20,Alameda,2
3/7/20,Alameda,3
3/8/20,Alameda,3
3/9/20,Alameda,2
3/10/20,Alameda,3
3/11/20,Alameda,3
3/12/20,Alameda,3
3/13/20,Alameda,11
3/14/20,Alameda,11
3/15/20,Alameda,11
3/16/20,Alameda,21
3/17/20,Alameda,27
3/18/20,Alameda,31
3/19/20,Alameda,35
3/20/20,Alameda,45
3/21/20,Alameda,71
3/22/20,Alameda,106
3/23/20,Alameda,122
3/24/20,Alameda,135
3/25/20,Alameda,135
3/26/20,Alameda,178
3/27/20,Alameda,220
3/28/20,Alameda,256
3/29/20,Alameda,270
3/30/20,Alameda,283
3/31/20,Alameda,313
4/1/20,Alameda,359
4/2/20,Alameda,396
4/3/20,Alameda,443
3/2/20,San Mateo,0
3/3/20,San Mateo,0
3/4/20,San Mateo,2
3/5/20,San Mateo,2
3/6/20,San Mateo,2
3/7/20,San Mateo,2
3/8/20,San Mateo,2
3/9/20,San Mateo,9
3/10/20,San Mateo,9
3/11/20,San Mateo,15
3/12/20,San Mateo,15
3/13/20,San Mateo,20
3/14/20,San Mateo,20
3/15/20,San Mateo,20
3/16/20,San Mateo,42
3/17/20,San Mateo,64
3/18/20,San Mateo,80
3/19/20,San Mateo,89
3/20/20,San Mateo,100
3/21/20,San Mateo,110
3/22/20,San Mateo,117
3/23/20,San Mateo,142
3/24/20,San Mateo,161
3/25/20,San Mateo,165
3/26/20,San Mateo,195
3/27/20,San Mateo,239
3/28/20,San Mateo,274
3/29/20,San Mateo,277
3/30/20,San Mateo,309
3/31/20,San Mateo,309
4/1/20,San Mateo,388
4/2/20,San Mateo,453
4/3/20,San Mateo,486
3/2/20,San Francisco,0
3/3/20,San Francisco,0
3/4/20,San Francisco,0
3/5/20,San Francisco,2
3/6/20,San Francisco,2
3/7/20,San Francisco,8
3/8/20,San Francisco,8
3/9/20,San Francisco,13
3/10/20,San Francisco,14
3/11/20,San Francisco,14
3/12/20,San Francisco,18
3/13/20,San Francisco,23
3/14/20,San Francisco,28
3/15/20,San Francisco,37
3/16/20,San Francisco,40
3/17/20,San Francisco,43
3/18/20,San Francisco,51
3/19/20,San Francisco,70
3/20/20,San Francisco,76
3/21/20,San Francisco,84
3/22/20,San Francisco,108
3/23/20,San Francisco,131
3/24/20,San Francisco,152
3/25/20,San Francisco,178
3/26/20,San Francisco,223
3/27/20,San Francisco,279
3/28/20,San Francisco,308
3/29/20,San Francisco,340
3/30/20,San Francisco,374
3/31/20,San Francisco,397
4/1/20,San Francisco,434
4/2/20,San Francisco,450
4/3/20,San Francisco,497
3/2/20,Santa Clara,9
3/3/20,Santa Clara,11
3/4/20,Santa Clara,14
3/5/20,Santa Clara,20
3/6/20,Santa Clara,24
3/7/20,Santa Clara,32
3/8/20,Santa Clara,37
3/9/20,Santa Clara,43
3/10/20,Santa Clara,45
3/11/20,Santa Clara,48
3/12/20,Santa Clara,48
3/13/20,Santa Clara,79
3/14/20,Santa Clara,91
3/15/20,Santa Clara,114
3/16/20,Santa Clara,138
3/17/20,Santa Clara,155
3/18/20,Santa Clara,175
3/19/20,Santa Clara,189
3/20/20,Santa Clara,196
3/21/20,Santa Clara,263
3/22/20,Santa Clara,302
3/23/20,Santa Clara,321
3/24/20,Santa Clara,375
3/25/20,Santa Clara,459
3/26/20,Santa Clara,542
3/27/20,Santa Clara,574
3/28/20,Santa Clara,591
3/29/20,Santa Clara,646
3/30/20,Santa Clara,848
3/31/20,Santa Clara,890
4/1/20,Santa Clara,956
4/2/20,Santa Clara,1019
4/3/20,Santa Clara,1094